Depth     GZ4       GZ3       GZ2       GZ1       IK        DS        BK        GZK3      PS        PZ        NKT       GK
2464.60   6.3973    6.5813    5.0093    5.3133    184.8959  21.9593   4.8095    7.9453    92.6686   6.7170    2.8588    8.1367
2464.80   6.0388    6.4484    5.0637    5.2347    185.4626  21.7077   4.8776    8.2505    91.2268   7.1895    2.8991    8.3202
2465.00   5.4912    6.2760    5.0118    5.1978    184.2553  21.4250   4.8398    8.0308    88.1965   7.9243    2.9926    7.4705
2465.20   4.9730    6.0396    4.9227    5.3404    181.5942  21.0876   4.9871    7.5424    74.1325   8.8743    2.9582    7.0542
2465.40   4.4990    5.7639    4.8955    5.7066    178.6867  20.6917   5.2097    7.0785    56.9770   10.2227   3.0560    5.6725
2465.60   3.9366    5.4684    5.1255    6.1907    175.3604  20.0930   5.6349    6.6073    48.1672   13.3201   3.1910    5.4392
2465.80   3.5830    5.2345    5.5114    7.6432    173.7588  20.5630   7.0855    6.2312    41.7278   15.4231   2.9678    5.6901
2466.00   3.4921    5.0991    6.0532    13.4480   177.5286  20.8867   9.3176    5.9016    38.1476   15.4948   3.2031    5.1728
2466.20   3.8212    5.0991    6.6395    15.3035   180.2636  20.8809   9.8385    5.6135    37.3656   14.1366   3.0967    5.4290
2466.40   4.3762    5.4143    7.9728    16.1907   180.2144  20.9979   10.3732   5.5720    38.5508   13.6987   3.1104    5.8306
2466.60   4.7986    6.1578    10.2362   16.4635   177.8243  21.2748   8.8439    6.1629    41.0679   13.6393   2.9783    5.7428
2466.80   5.2947    6.8965    12.1707   14.8145   173.9559  21.2611   7.7810    7.0321    43.6584   13.1420   2.8762    5.9546
2467.00   5.8030    7.4480    13.2641   14.3106   170.2353  21.3255   8.3292    8.1333    46.8231   12.1277   2.8046    6.5163
2467.20   6.0413    8.1497    14.1571   15.0897   167.3525  21.6648   9.0324    8.9391    51.0386   10.6853   2.9773    6.7818
2467.40   5.9430    8.6003    14.5331   16.2227   168.8801  21.7896   9.1841    9.6252    58.5533   9.6165    3.0599    6.7491
2467.60   5.2947    8.2236    14.2635   16.9378   173.8820  22.2167   7.2526    10.1160   65.3959   9.0524    3.1163    7.2889
2467.80   4.8527    7.3372    12.5294   13.9543   175.1386  22.6048   6.2339    9.7131    71.6153   8.1915    3.1395    7.7857
2468.00   4.8109    6.6823    10.9239   8.9580    175.2372  21.7584   5.2854    9.8913    78.0059   7.8328    2.9946    8.0410
2468.20   4.8134    6.3696    9.3902    6.7904    170.3092  21.8072   5.1905    10.4749   85.1417   8.1519    3.1708    8.2079
2468.40   4.6390    6.1751    8.3092    6.4463    162.1535  21.8189   5.6453    11.1610   88.2331   8.3003    3.1082    7.5227
2468.60   4.5678    5.9116    7.9011    6.6282    156.3632  21.8520   6.2849    11.9619   89.7605   8.4067    3.2338    7.6701
2468.80   4.5162    5.6383    7.4657    6.1342    153.9731  21.9067   5.8150    14.7357   90.6158   8.6541    3.2106    7.4124
